Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
CIsurvey[SQ001];11;Interest in Co-UDLabs;54;text;You can optionally enter your contact information. In this way, you give us the opportunity to be available for queries. We would also be happy to inform you about the results of the survey by e-mail.  [Forename:];Forename:;Forename:
CIsurvey[SQ002];11;Interest in Co-UDLabs;54;text;You can optionally enter your contact information. In this way, you give us the opportunity to be available for queries. We would also be happy to inform you about the results of the survey by e-mail.  [Surname:];Surname:;Surname:
CIsurvey[SQ003];11;Interest in Co-UDLabs;54;text;You can optionally enter your contact information. In this way, you give us the opportunity to be available for queries. We would also be happy to inform you about the results of the survey by e-mail.  [Name of the Wastewater Association:];Name of the Wastewater Association:;Name of the Wastewater Association:
CIsurvey[SQ004];11;Interest in Co-UDLabs;54;text;You can optionally enter your contact information. In this way, you give us the opportunity to be available for queries. We would also be happy to inform you about the results of the survey by e-mail.  [Email:];Email:;Email:
CIsurvey[SQ005];11;Interest in Co-UDLabs;54;text;You can optionally enter your contact information. In this way, you give us the opportunity to be available for queries. We would also be happy to inform you about the results of the survey by e-mail.  [Phone number:];Phone number:;Phone number:
COUDapply[SQ001];11;Interest in Co-UDLabs;55;multiselect;You can opt-in to apply to be part of an Co-UDLabs early adopter group of innovative utilities  to share experiences regarding CSO and data management. [I want to participate in the early adopter group of innovative utilities.];Apply to be part of an Co-UDLabs early adopter group of innovative utilities  to share experiences regarding CSO and data management.;I want to participate in the early adopter group of innovative utilities.
COUDapply[SQ002];11;Interest in Co-UDLabs;55;multiselect;You can opt-in to apply to be part of an Co-UDLabs early adopter group of innovative utilities  to share experiences regarding CSO and data management. [Please contact me with information on further implementation actions, discuss policy suggestions, evaluate scientific developments, etc.];Apply to be part of an Co-UDLabs early adopter group of innovative utilities  to share experiences regarding CSO and data management.;Please contact me with information on further implementation actions, discuss policy suggestions, evaluate scientific developments, etc.
interviewtime;0;Metadata;56;;Total time;Total time;
groupTime3815;0;Metadata;56;;Group time: General info;Group time: General info;
yearTime;0;Metadata;56;;Question time: year;Question time: year;
NemployeesTime;0;Metadata;56;;Question time: Nemployees;Question time: Nemployees;
NcommunitiesTime;0;Metadata;56;;Question time: Ncommunities;Question time: Ncommunities;
managementTime;0;Metadata;56;;Question time: management;Question time: management;
freeINDandDECTime;0;Metadata;56;;Question time: freeINDandDEC;Question time: freeINDandDEC;
freeFINandGOVTime;0;Metadata;56;;Question time: freeFINandGOV;Question time: freeFINandGOV;
AREAtotalTime;0;Metadata;56;;Question time: AREAtotal;Question time: AREAtotal;
AREAredTime;0;Metadata;56;;Question time: AREAred;Question time: AREAred;
facilitiesTime;0;Metadata;56;;Question time: facilities;Question time: facilities;
groupTime3816;0;Metadata;56;;Group time: Sewer infrastructure elements;Group time: Sewer infrastructure elements;
NCSOsTime;0;Metadata;56;;Question time: NCSOs;Question time: NCSOs;
CSOrehabTime;0;Metadata;56;;Question time: CSOrehab;Question time: CSOrehab;
CSOinvestTime;0;Metadata;56;;Question time: CSOinvest;Question time: CSOinvest;
NpumpstatTime;0;Metadata;56;;Question time: Npumpstat;Question time: Npumpstat;
groupTime3817;0;Metadata;56;;Group time: Monitoring technology for CSOs;Group time: Monitoring technology for CSOs;
MvarCSOTime;0;Metadata;56;;Question time: MvarCSO;Question time: MvarCSO;
NinstrumCSOTime;0;Metadata;56;;Question time: NinstrumCSO;Question time: NinstrumCSO;
NpluviomTime;0;Metadata;56;;Question time: Npluviom;Question time: Npluviom;
groupTime3818;0;Metadata;56;;Group time: CSO data transmission and management;Group time: CSO data transmission and management;
WLmeasTime;0;Metadata;56;;Question time: WLmeas;Question time: WLmeas;
WLplantsTime;0;Metadata;56;;Question time: WLplants;Question time: WLplants;
WLassessTime;0;Metadata;56;;Question time: WLassess;Question time: WLassess;
WLdataQltyTime;0;Metadata;56;;Question time: WLdataQlty;Question time: WLdataQlty;
WLdataQLTYbadTime;0;Metadata;56;;Question time: WLdataQLTYbad;Question time: WLdataQLTYbad;
WQproblm2Time;0;Metadata;56;;Question time: WQproblm2;Question time: WQproblm2;
ORGshareTime;0;Metadata;56;;Question time: ORGshare;Question time: ORGshare;
groupTime3821;0;Metadata;56;;Group time: Added value through the use of measurement technology;Group time: Added value through the use of measurement technology;
MTavailTime;0;Metadata;56;;Question time: MTavail;Question time: MTavail;
METexTime;0;Metadata;56;;Question time: METex;Question time: METex;
METobstTime;0;Metadata;56;;Question time: METobst;Question time: METobst;
MEASplantsTime;0;Metadata;56;;Question time: MEASplants;Question time: MEASplants;
MEuncTime;0;Metadata;56;;Question time: MEunc;Question time: MEunc;
groupTime3822;0;Metadata;56;;Group time: Collaboration with compliance authority;Group time: Collaboration with compliance authority;
IntDrainPlanTime;0;Metadata;56;;Question time: IntDrainPlan;Question time: IntDrainPlan;
IDPyearTime;0;Metadata;56;;Question time: IDPyear;Question time: IDPyear;
IDPrevTime;0;Metadata;56;;Question time: IDPrev;Question time: IDPrev;
ORGcoopUDTime;0;Metadata;56;;Question time: ORGcoopUD;Question time: ORGcoopUD;
groupTime3823;0;Metadata;56;;Group time: Further education/ Professional competence;Group time: Further education/ Professional competence;
EMPeventTime;0;Metadata;56;;Question time: EMPevent;Question time: EMPevent;
groupTime3824;0;Metadata;56;;Group time: Personal attitude of management;Group time: Personal attitude of management;
MEAStpTime;0;Metadata;56;;Question time: MEAStp;Question time: MEAStp;
woWWTPTime;0;Metadata;56;;Question time: woWWTP;Question time: woWWTP;
SSvisionTime;0;Metadata;56;;Question time: SSvision;Question time: SSvision;
CSOpublicTime;0;Metadata;56;;Question time: CSOpublic;Question time: CSOpublic;
groupTime3825;0;Metadata;56;;Group time: Legal framework and guidelines;Group time: Legal framework and guidelines;
CSOlawTime;0;Metadata;56;;Question time: CSOlaw;Question time: CSOlaw;
impREGTime;0;Metadata;56;;Question time: impREG;Question time: impREG;
TSguideTime;0;Metadata;56;;Question time: TSguide;Question time: TSguide;
REGapplyTime;0;Metadata;56;;Question time: REGapply;Question time: REGapply;
REGenfTime;0;Metadata;56;;Question time: REGenf;Question time: REGenf;
CSOregTime;0;Metadata;56;;Question time: CSOreg;Question time: CSOreg;
groupTime3826;0;Metadata;56;;Group time: Future improvements;Group time: Future improvements;
CSOmonitTime;0;Metadata;56;;Question time: CSOmonit;Question time: CSOmonit;
CSOownpropTime;0;Metadata;56;;Question time: CSOownprop;Question time: CSOownprop;
UDfeedTime;0;Metadata;56;;Question time: UDfeed;Question time: UDfeed;
groupTime3827;0;Metadata;56;;Group time: Interest in Co-UDLabs;Group time: Interest in Co-UDLabs;
CIsurveyTime;0;Metadata;56;;Question time: CIsurvey;Question time: CIsurvey;
COUDapplyTime;0;Metadata;56;;Question time: COUDapply;Question time: COUDapply;
